stn    time           rre150d0
AMW    19030920            0.0
AMW    19030921            0.0
AMW    19030922            0.0
AMW    19030923            0.0
AMW    19030924            0.0
AMW    19030925            0.0
AMW    19030926            0.0
AMW    19030927            0.0
AMW    19030928            0.0
AMW    19030929            0.0
AMW    19030930            0.0
AMW    19031001            0.0
AMW    19031002            0.0
AMW    19031003            3.4
AMW    19031004            0.0
AMW    19031005            0.0
AMW    19031006            0.0
AMW    19031007            0.0
AMW    19031008            0.0
AMW    19031009            0.9
AMW    19031010            1.6
AMW    19031011            0.0
AMW    19031012           24.0
AMW    19031013            0.0
AMW    19031014            0.0
AMW    19031015           10.6
AMW    19031016           10.0
AMW    19031017            2.1
AMW    19031018            6.9
AMW    19031019            0.0
AMW    19031020            0.0
AMW    19031021            0.4
AMW    19031022            1.2
AMW    19031023            1.3
AMW    19031024            0.0
AMW    19031025            0.0
AMW    19031026            0.0
AMW    19031027            0.0
AMW    19031028            0.0
AMW    19031029            4.0
AMW    19031030           18.3
AMW    19031031            0.0
AMW    19031101            0.4
AMW    19031102            0.0
AMW    19031103            0.0
AMW    19031104            0.0
AMW    19031105            0.0
AMW    19031106            0.0
AMW    19031107            0.0
AMW    19031108            0.0
AMW    19031109            0.4
AMW    19031110            2.1
AMW    19031111            2.4
AMW    19031112            0.9
AMW    19031113            9.1
AMW    19031114            0.0
AMW    19031115           12.0
AMW    19031116            7.7
AMW    19031117           12.7
AMW    19031118            0.2
AMW    19031119            5.0
AMW    19031120            1.0
AMW    19031121            4.8
AMW    19031122            0.8
AMW    19031123            0.0
AMW    19031124            6.4
AMW    19031125           15.2
AMW    19031126            4.7
AMW    19031127           10.6
AMW    19031128            3.0
AMW    19031129            4.0
AMW    19031130            0.0
AMW    19031201            0.3
AMW    19031202            0.1
AMW    19031203            0.0
AMW    19031204            0.0
AMW    19031205            2.1
AMW    19031206            8.6
AMW    19031207            1.1
AMW    19031208            0.0
AMW    19031209            0.8
AMW    19031210            0.0
AMW    19031211            4.0
AMW    19031212            0.0
AMW    19031213            0.0
AMW    19031214            0.0
AMW    19031215            0.0
AMW    19031216            0.0
AMW    19031217            0.0
AMW    19031218            0.0
AMW    19031219            0.0
AMW    19031220            0.0
AMW    19031221            0.0
AMW    19031222            0.0
AMW    19031223            0.0
AMW    19031224            0.0
AMW    19031225            0.0
AMW    19031226            0.0
AMW    19031227            0.0
AMW    19031228            0.0
AMW    19031229            0.0
AMW    19031230            0.0
AMW    19031231            0.0
AMW    19040101            0.0
AMW    19040102            0.0
AMW    19040103            0.0
AMW    19040104            0.0
AMW    19040105            0.0
AMW    19040106            0.0
AMW    19040107            0.0
AMW    19040108            0.0
AMW    19040109            0.0
AMW    19040110            0.0
AMW    19040111            0.0
AMW    19040112            0.0
AMW    19040113            3.2
AMW    19040114            5.0
AMW    19040115            8.5
AMW    19040116            9.3
AMW    19040117            2.6
AMW    19040118            4.6
AMW    19040119            0.7
AMW    19040120            0.0
AMW    19040121            0.0
AMW    19040122            0.0
AMW    19040123            0.0
AMW    19040124            0.0
AMW    19040125            0.0
AMW    19040126            0.0
AMW    19040127            0.0
AMW    19040128            0.0
AMW    19040129            0.0
AMW    19040130            0.0
AMW    19040131            2.4
AMW    19040201            0.0
AMW    19040202            0.0
AMW    19040203            0.0
AMW    19040204            0.0
AMW    19040205            0.7
AMW    19040206            0.0
AMW    19040207            1.0
AMW    19040208            6.5
AMW    19040209            3.6
AMW    19040210            6.0
AMW    19040211           26.0
AMW    19040212            1.6
AMW    19040213            6.2
AMW    19040214            7.3
AMW    19040215            3.3
AMW    19040216            1.2
AMW    19040217            5.7
AMW    19040218            1.7
AMW    19040219            0.0
AMW    19040220            3.6
AMW    19040221            0.0
AMW    19040222            4.1
AMW    19040223            2.9
AMW    19040224            0.0
AMW    19040225            0.0
AMW    19040226            0.0
AMW    19040227            0.0
AMW    19040228            0.0
AMW    19040229            0.0
AMW    19040301            2.4
AMW    19040302            0.0
AMW    19040303            0.0
AMW    19040304            0.0
AMW    19040305            0.0
AMW    19040306            0.0
AMW    19040307            0.0
